Deyimler;Türkçe Anlamı;İngilizce Anlamı
Kuvvetten düşmek (kesilmek);Gücü iyice azalmak;Have a decrease in
Kuyruğuna basmak;Birini tahrik etmek, incitip saldırmasına yol açmak;Provoking someone, hurting and attacking
Kuyruk sallamak;birisine yaranmak için yapmacık davranışlarda bulunup şirin görünmeye çalışmak;Trying to look cute to make a fake behaviors to benefit someone
Kuyusunu kazmak;Birinin kötü duruma düşmesi, felakete uğraması, zarar görmesini sağlamak için zemin hazırlamak, tuzak kurmak;To prepare the ground for someone to fall into a bad situation, disaster, damage, setting up a trap
Küçük dilini yutmak;Çok şaşmak, hayrete düşmek, donakalmak, hiçbir şey söyleyemez hale gelmek;To be very surprised, to be amazed, to freeze, to say nothing
Küçük düşürmek;Onurunu kırmak, birilerinin yanında itibarını sarsmak ve değerini düşürmek;Breaking your dignity, shaking your reputation with someone and lowering your value
Küçük görmek;Önemsememek, değer vermemek;Not to care, not to value
Külahını ters giydirmek;"Çok kurnaz olmak; oyuna getirmek";"To be very cunning; play"
Külahları değişmek;Araları bozulmak, bozuşmak;Break down, disrupting
Kül kesilmek;Heyecan ve korkudan yüzünün rengi atmak, solmak;Throw the color of your face with excitement and fear, fading
Külünü (göğe) savurmak:;Bir şeyi tamamiyle bitirip yok etmek, harcayıp tüketmek, telef edip bir şey bırakmamak;To finish and destroy something completely, spend and consume, not to perish and leave anything
Kül yutmamak;Oyuna gelmemek, tuzağa düşmemek, kurnazca yapılan bir hileye aldanmamak;Not to come to the game, not to fall into trap, not to be deceived by a cunning trick
Künyesi bozuk;Eskiden kötü durumları görülmüş olan, kötü işlere girmiş bulunan;In the past, which had been seen in bad situations, entered into bad jobs
Küplere binmek;Haddinden fazla öfkelenme, kızmak, sağa sola ateş saçmak;Don't get too angry, get angry, to leave fire
Lafa boğmak;Birinin söz söylemesine fırsat vermeyip meseleyi gereksiz ve boş sözlerle anlaşılmaz kılmak, gürültüye getirip uzatmak;Not allowing someone to speak and making the issue incomprehensible with unnecessary and empty words, bringing it to noise and extending
Laf (söz) altında kalmamak;Bir münakaşa sırasında söylenen her dokunaklı söze karşılık vermek, söz altında ezilmemek;To respond to every touching word said during a debate, not to be crushed under the word
Laf atmak;Dokunaklı sözlerle sataşmak, uzaktan işittirmek;Satisfaction with touching words, to hear from a distance
Lafa tutmak;Birini konuşarak, gereksiz meseleler anlatarak işinden alıkoymak;To keep someone from work by talking and telling unnecessary issues
Lafı (sözü) ağzına tıkamak;Birinin sözünü bitirmesine fırsat vermemek, onu susmak zorunda bırakmak, konuşmasını önlemek;Not allowing someone to finish, leaving him silence, preventing him from talking
Lafı (sözü) ağzında gevelemek;Söylemek istediğini açık olarak bir türlü söyleyememek, şundan bundan bahsetmek;Not being able to say what you want to say clearly, to talk about it
Lafı ağzında kalmak;Söyleyeceğini söylemeye zaman bulamamak, konuşmasını bitirememek;Not being able to find time to tell you to say, not being able to finish the conversation
Lafı (sözü) çevirmek;Konuşmasının sakıncalı bir biçim aldığını fark edince söze başka bir yön vermek, başka konuya geçmek;When he realizes that his speech took a objectionable form
Lafını (sözünü) bilmek;Tutarlı ve mantıklı konuşmak, sakıncalı olmayan ve birini kırmayan sözler söylemek, saygılı ve yerinde konuşmak;Consistent and logical speaking, saying words that are not inconvenient and do not break someone, to talk respectful and on -site
Laf işitmek;Birisi tarafından paylanmak, azarlanmak;To be shared by someone, to be scolded
Laf (söz) taşımak;Aralarını açmak maksadıyla birinin bir kimse hakkında söylediği hoş olmayan sözlerini o kimseye ulaştırmak, söz getirip götürmek;To bring the unpleasant words that someone says about someone to open up to that person
Laf (söz) yetiştirmek;Bir söze karşılık vermekte gecikmemek, durmadan konuşmak;Not to be delayed in responding to a promise, talking without stopping
Lamı cimi yok;Hiçbir bahane, itiraz, mazeret, duraksama, karşı gelme yok;No excuses, objections, excuses, pauses, no opposition
Leb demeden leblebiyi anlamak;Daha sözün başında ne demek istediğini anlamak, anlayışlı ve kavrayışlı olmak;To understand what you mean at the beginning of the word, to be understanding and understanding
Leke sürmek;Suç yüklemek, birinin onurunu sarsacak biçimde iftirada bulunmak;To slander a crime, to shake someone's dignity
Leyleğin yuvadan attığı yavru;Yakınlarından ilgi görmeyen, çevresinin uzaklaştırdığı kimse;The person who does not attract attention from his relatives, removed by his environment
Lokma ağzında büyümek;Herhangi bir sebepten, acı ya da üzüntüden dolayı lokmasını yutamamak, yiyememek;Not being able to swallow the bite because of any reason, pain or sadness, not to eat
Madalyanın ters (öteki) yüzü;Olumlu bir olay, iş ya da durumun düşünülmesi, hesaba katılması gereken olumsuz yönü;A positive event, the negative aspect that should be taken into account
Mahşer midillisi;Kısa boylu, fitneci kimse;Short, fitnener
Mahşer gibi;Çok kalabalık;Too crowded
Mal bulmuş mağribi gibi;Büyük bir zenginliğe kavuşmuşcasına büyük sevinç ve coşku ile;With great joy and enthusiasm as if it had a great wealth
Mantar gibi yerden bitmek;Birdenbire ya da kendiliğinden ortaya çıkmak;Suddenly or spontaneous
Maraza çıkarmak;Anlaşmazlığa yol açacak işler yapmak, kavgaya yol açmak;Doing things that will lead to dispute, leading to a fight
Masal okumak;İnandırıcı olmayan, oyalayıcı ve avutucu sözler söylemek;Saying non -convincing, distracting and consolation
Maskara olmak;Gülünç hallere düşmek, alay konusu olmak;To fall into ridiculous situations, to be ridiculed
Maskesi düşmek;Gerçek yüzü, kimliği, niteliği ortaya çıkmak;To emerge the real face, identity, quality
Masrafa girmek;Çok para harcamak;To spend a lot of money
Maşallahı var;Bir şey ya da kimsenin iyi durumda olması;Something or nobody is in good condition
Matrak geçmek;Alay etmek, karşısındakiyle eğlenmek, dalga geçmek;Mocking, having fun with the other person, making fun of
Maval okumak;Tutarlı, inandırıcı olmayan, yalan sözler söylemek;To say consistent, non -convincing, lying words
Mayası bozuk;Karaktersiz, kötü yaradılışlı, aşağılık (kişi);Characterless, bad creation, inferiority (person)
Maymun iştahlı;"Kararsız, hevesi çabuk geçen; bugün şunu yarın ötekini beğenen";"Unstable, passing enthusiasm quickly; Today is the one who likes the other tomorrow"
Mekik dokumak;İki yer arasında durmadan gidip gelmek;Between the two places
Mendil açmak;Dilenmek;Begged
Merhabası olmak;Birisiyle selamlaşacak kadar tanışıklığı, yakınlığı bulunmak;To meet someone to greet someone
Merhabayı kesmek;Biriyle ilgiyi kesmek, arkadaşlığa son vermek;Cutting attention with someone, putting an end to friendship
Mesken tutmak;Yerleşmek;Settle down
Meteliğe kurşun atmak;Parasız pulsuz kalmak, hiç parası olmamak;Staying free of money, having no money
Metelik vermemek;Değer vermemek, umursamamak, aldırış etmemek;Not to value, not care, not to mind
Meydanı boş bulmak;Kendisine mani olacak kimse bulunmadığı için aşırı davranışlarda bulunmak, bir şeyden çekinmemek;To be overhearted because there is no one to prevent him, not to hesitate to do anything
Meydan okumak;Kavga ya da yarışmaya çağırmak, korkmadığını ve çekinmediğini açıkça bildirmek;Calling to a fight or competition, clearly reporting that he is not afraid and not hesitant
Mezhebi geniş;Namus konusunda gerekli olan titizliği göstermeyen, kadın-erkek ilişkilerinde dini kaidelere aldırış etmeyen, geniş davranan;Who do not show the necessary meticulousness about honor, who do not care about religious rules in men-men's relations, and behaves widely
Mezar kaçkını;Çok zayıf, bitkin, güçsüz düşmüş kişi;Very weak, exhausted, weak person
Mırın kırın etmek;Bir isteği yerine getirmemek için çeşitli bahaneler ileri sürüp nazlanmak;To make various excuses to avoid fulfilling a request
Mızıkçılık etmek;Bir oyunu ya da birlikte yapılan bir işi çeşitli bahaneler ileri sürerek bozmaya çalışmak, razı olmamak;Trying to break a game or a job done by making various excuses, not to consent
Muhallebi çocuğu;Nazlı, el bebek gül bebek büyütülmüş, dayanıksız, narin kimse;NAZLI, HAND BABY ROSE BABY GREAT, NON -WARGNOR
Mumla aramak;Çok istek ve özlemle aramak;Call for a lot of desire and longing
Muradına ermek;Dileği gerçekleşmek, çok istediği şeye kavuşmak;To come true, to achieve what he wants
Mürekkebi kurumadan bozmak;Bir kararı, sözleşmeyi, anlaşmayı yazılmasından kısa bir süre sonra bozmak;A decision, the contract, the agreement is written shortly after the writing
Mürekkep yalamış;Az çok öğrenim görmüş, okuyup yazmış, belli bir kültüre sahip olmuş kimse;Anyone who has studied, read and wrote, had a certain culture
Nabza göre şerbet vermek;Birinin hoşuna gidecek, eğilimlerine cevap verecek biçimde davranmak;Acting someone will like, responding to your tendencies
Nalıncı keseri gibi kendine yontmak;Hemen her işte kendi çıkarını düşünerek hareket etmek;Acting with your own interest in almost every job
Nane molla;Dirençsiz, güçsüz kimse;Non -resistor, weak
Naza çekmek;Kendini ağır satmak, bir isteği yerine getirmekte yapmacıklı davranışlarla isteksiz gibi davranmak;Selling yourself heavy, acting as reluctant to fulfill a request
Nazı geçmek;İstediklerini yaptıracak kadar hatırı sayılır olmak;To be considerable enough to do what you want
Nefes aldırmamak;Dinlenmesine fırsat vermemek, sıkıştırmak, rahat bırakmamak;Not to give the opportunity to rest, to compress, not to leave comfortable
Nefes tüketmek;Bir şeyi anlatmaktan çok yorulmak;Get tired of telling something
Nefsine yedirememek;Kendine yakıştıramamak, o şeyi yapmayı kendisi için onur kırıcı, ağır bulmak;Not being able to fit yourself, finding that thing is degrading, heavy for himself
Ne şiş yansın ne kebap;İki taraf da korunsun, gücendirilmesin, ikisinin de zarar görmeyeceği bir yol bulunsun;Both sides should be protected, not offended, and there will be a way that they will not be damaged.
Ne tadı var ne tuzu;Hoşa gidecek, zevk alınacak, beğenilecek bir şey değil;It will be pleasant, it is not something to enjoy, to be liked
Nevri dönmek;Çok öfkelenmek, sinirlenip kızmak ve bu sebeple rengi değişmek;Getting very angry, getting angry and angry and therefore changing color
Ne yardan geçer ne serden;İstediği şey fedakârlığı gerektirdiği hâlde, fedakârlığa yanaşmayan ama istediğinden de vazgeçmeyen;Even though it requires sacrifice, he does not approach sacrifice but does not give up what he wants
Ne yer ne yedirir;Kimsenin yararlanmasını istemez, kendi de yararlanmaz;He does not want anyone to benefit, he does not benefit himself
Nuh der peygamber demez;Son derece inatçıdır, düşüncelerini bir türlü değiştirmez, söylediklerinde ve inançlarında direnir;He is extremely stubborn, he does not change his thoughts, he resists in his beliefs and beliefs.
Nuh Nebi’den kalma;Çok eski modası geçmiş;Very old fashion
Numara yapmak;yalandan yapmak, bir şeyi gerçekmiş gibi söyleyerek karşısındakini aldatmak;To lie, to deceive the other person by saying something as if it were real
Nutku tutulmak;Korkudan, üzüntüden, heyecandan konuşamaz olmak;Being unable to speak with fear, sadness, excitement
Ocağına düşmek;Birine yardım etmesi için yalvarmak, koruması için sığınmak;Begging someone to help someone, taking refuge for protection
Ocağına incir dikmek;Birinin evini barkını dağıtmak, düzenini alt üst etmek, yuvasını yıkıp toparlanamaz hâle getirmek;To disperse someone's house, to upside down the order, to destroy the nest and become unable to recover
Ocağını söndürmek;Ailenin dağılmasına sebep olmak, çoluk çocuğunu yok etmek;To disintegrate the family, to destroy the offspring
Ok yaydan çıkmak;Geri dönülemeyecek bir iş yapmak, söz söylemek ya da bir harekette bulunmak;Doing an irreversible job, saying a word or making a move
Oldu bittiye getirmek;aceleyle yaptırmak, geri dönülmesi güç ve imkânsız bir durum oluşturmak;To have a hurry, to create a difficult and impossible situation
Oldu olacak kırıldı nacak;Olanlar oldu, iş işten geçti, olanlar geri dönülemeyecek bir durum aldı, bunu kabul etmek gerek;What happened, the work passed, the ones took an irreversible situation, you need to accept it
Olmayacak duaya amin demek;Sonuç vermeyecek bir işle uğraşmak ya da buna destek vermek;To deal with a job that does not give results or to support it
Oluruna bırakmak;Bir işin yapılabildiği, olabildiği kadarıyla yetinmek, müdahale etmeden bekleyip sonucuna ne olursa olsun razı olmak;To be satisfied with as far as a job can be done, to wait without intervening and to consent to the outcome
Omuz silkmek;Aldırmamak, önem vermemek, benimsememek;Not to mind, not to care, not to adopt
On parmağında on marifet;Çok hünerli, becerikli, ustalığı çok, elinden her iş gelir;Very skilled, resourceful, mastery, very, every job comes from his hand
Onuruna dokunmak;Onurunu, haysiyetini incitmek;Hurt your dignity, dignity
Oralı olmamak;Anlamamış, sezmemiş gibi davranmak;To act as if he did not understand, perceive
Ortada kalmak;Yersiz yurtsuz kalmak, barınacak yer bulamamak;Staying out of place, not finding a place to shelter
Ortalığı birbirine katmak;Kargaşa çıkarmak, herkesi birbirine düşürmek;Making turmoil, bringing everyone to each other
Orta malı;Herkesin yararlandığı;That everyone benefits
Ortaya dökmek;Gizli olan ne varsa açıklamak;Explain whatever is hidden
O tarakta bezi olmamak;Bir şeyle, bir işle ilişiği bulunmamak, o şeyle ilgilenmemek;Not being interested in something, a job, not to be interested in that thing
Oyuna gelmek;Aldatılmak, tuzağa düşürülmek;To be deceived, to trap
Oyunbozanlık etmek; Mızıkçılık etmek, birlikte yapılması gereken işten tek taraflı vazgeçmek;To be spent, to give up unilaterally from the work that needs to be done together
Oyun etmek;Aldatmak, kurnazlıkla birini tuzağa düşürmek;Deceiving, cunning someone into trap
Öç almak;Yapılan bir kötülüğün acısını aynı derecede bir kötülük yaparak çıkarmak;To remove the pain of an evil done by doing the same equally evil
Ödü patlamak;Ani bir olay sebebiyle çok korkmak;Be afraid of a sudden event
Öküzün altında buzağı aramak;Kimi sebepler, bahaneler uydurarak suç ve suçlu bulma çabasında olmak;Some reasons, excuses to find criminal and guilty by making up excuses
Öküz öldü, ortaklık bozuldu;Aradaki yakınlık dayanağı kalktı, yakınlık da kalmadı;The proximity was abolished and there is no proximity.
Ölçüyü kaçırmak;Uygun derecenin üstüne çıkmak, aşırı gitmek;To go above the appropriate degree, go over
Ölme eşeğim ölme (yaza yonca bitecek);Umutsuz bir bekleyiş;A desperate waiting
Ölü fiyatına;Yok pahasına, değerinden çok ucuza, az bir para ile;At the expense of none, with a little money very cheap than its value
Ölümüne susamak;Yapmakta olduğu tehlikeli işte ölümü kendi üzerine çekecek davranışta bulunmak;To be in a dangerous job in the work that will attract death on yourself
Ölüp ölüp dirilmek;Ard arda gelen sıkıntılı, acı veren durumlara düşmek;Falling into troubled, painful situations
Ömür çürütmek;Uzun süre bir şey için emek vermiş olmak, ya da boşuna zaman harcamış olmak;To have labor for something for a long time, or to have spent time in vain
Ömür törpüsü;İnsanı yıpratan, yoran, sıkıntıya sokan, uzun ve yorucu iş;Long and tiring work
Ön ayak olmak;Bir işin yapılmasında ilk başlayan olup herkesi arkasından sürüklemek;The first to do a job and dragging everyone behind
Öpüp başına koymak;Bir şeyi minnetle karşılamak, seve seve kabul etmek;Welcome something with gratitude, gladly accepting
Örtbas etmek;Kötü bir durumu gizlemek, yayılmasını önlemek;Hiding a bad situation, preventing it from spreading
Örümcek kafalı;Geri düşünceli, yenilikleri kolay kabul etmeyen;Refundable, does not accept innovations easily
Özenip bezenmek;Çok özen gösterip titizlikle, ayrıntılarına varıncaya değin ele almak;To take care of a lot of care and take care of it until it reaches its details
Özü sözü bir;Düşünceleri, söyledikleri ve yaptıkları bir olan, ne düşünüyorsa onu söyleyen, içi dışı bir olan kimse;Anyone who is one of the things, what they say and what they do, who says what he thinks,
Pabucu dama atılmak;Kendisinden üstün birinin çıkmasıyla gözden düşmek, değer ve itibarını kaybetmek;To fall into disregard with the emergence of a superior person, to lose value and reputation
Pabucunu ters giydirmek;Güç bir duruma düşürerek telaşlandırmak, bu telaşla kaçmasına sebep olmak;To make a rush by making a difficult situation, causing him to escape in a hurry
Pabuç bırakmamak;Yılmamak, korkmayıp yapacağından vazgeçmemek;Not to give up, not to give up what you will do
Paçaları sıvamak;Bir işi yapmak için hazırlanmak;Prepare for doing a job
Paçayı kaptırmak;Yakalanmak, ele geçmek;Catching, seizing
Paçavrasını çıkarmak;Çok hırpalamak, sağlam yerini koymamak, işe yaramaz bir duruma getirmek;To batter a lot, not to put its firm place, to make it useless
Paçayı kurtarmak;Bir ilişkiden veya önce girişip sonra pişman olduğu bir işten yakasını sıyırmak;To enter a relationship or before a relationship and then stripping off a job that he regrets
Palas pandıras;Acele olarak, hazırlanmaya zaman bulamadan;In a hurry, without finding time to prepare
Palavra atmak;Abartarak söylemek, yalan söylemek, olmayacak şeylerden söz etmek;Exaggerating, lying, talking about things that will not happen
Paldır küldür;Büyük bir gürültü ile;With a big noise
Pamuk ipliği ile bağlamak;Etkisi az sürecek, köksüz, geçici bir çözüm yolu bulmak;Finding a rootless, temporary solution that will last less impact
Papara yemek;Çok azarlanmak;Be scolded
Para babası;Çok zengin, parası bol olan;Very rich, with plenty of money
Para canlısı;Parayı çok seven, paraya düşkün;Who loves money very much, fond of money
Parasını sokağa atmak;Değeri olmayan bir işe ya da mala para vermek;Giving money to a job without value or a trowel
Paraya kıymak;Gereken yerde para harcamaktan kaçınmamak;Not to avoid spending money where you need
Paraya para dememek;Çok para kazanmak, Bol para harcamak;Making a lot of money, spending plenty of money
Parmağı ağzında kalmak;Çok şaşırmak, hayrete düşmek;Be surprised, to be amazed
Parmağına dolamak;Bir konuyu her fırsatta, her yerde ele alıp konuşmak, o konu ile uğraşmak;At every opportunity, everywhere, dealing with it, dealing with that subject
Parmağında oynatmak;Birine her istediğini yaptırmak, onu kukla gibi kullanmak;Anything you want to make someone want to use it like a puppet
Parmağını bile oynatmamak;Hiç tepki göstermemek, kayıtsız kalmak;Not reacting at all, staying indifferent
Parmak basmak;Bir nokta üzerine dikkati ya da ilgiyi çekmek;To attract attention or attention on a point
Parmak ısırmak;Büyük şaşkınlık duymak, hayrete düşmek;To be surprised, to be amazed
Parmakla gösterilmek;Seçkin, ünlü olmak;Being distinguished, famous
Parmaklarını yemek;Bir yemeğin çok lezzetli olması;A meal is very delicious
Patırtı çıkarmak;Kavga, kargaşa, gürültü çıkarmak;Fighting, turmoil, making noise
Patlak vermek;Gizlenen ya da hoş karşılanmayan bir durum aniden ortaya çıkmak;A situation that is hidden or not welcome suddenly emerges
Pay biçmek;Bir fikir elde edebilmek için, durumu bir şey ile kıyaslamak;To compare the situation with something to get an idea
Payidar olmak;Kalmak, yok olmamak, yaşamak;To stay, not to disappear, to live
Pay çıkarmak;Bir olay ya da davranıştan tecrübe kazanmak, hisse kapmak, tutulacak yolu belirlemek;Gaining experience from an event or behavior, grabing a share, determining the way to be kept
Pestilini çıkarmak;Çok çalıştırıp adamakıllı yormak;Run too much and exhaust
Peyda olmak;Ortaya çıkmak, belirmek, oluşmak;To emerge, to appear, to occur
Pılıyı pırtıyı toplamak;Hemen bütün eşyalarını toplayarak bir yere gitmek üzere hazırlık yapmak;Preparing to go somewhere by collecting almost all his belongings
Pire için yorgan yakmak;Önemsiz bir şey için kızıp daha büyük zarara yol açacak davranış içine girmek;Entering into behavior that will cause greater damage for something insignificant
Pireyi deve yapmak;Küçük, basit bir olayı büyütüp mesele yapmak, aşırı abartmak;Enlarge a small, simple event and make an issue, exaggerating over
Pişmiş aşa su katmak;Yoluna girmiş, bitmek üzere olan bir işi bozmak ya da aksatmak;To break or disrupt a business that is about to end
Pişmiş kelle gibi sırıtmak;Anlamsız, çirkin, yersiz, dişlerini göstererek gülmek;Significant, ugly, unwarranted, laughing by showing your teeth
Posta koymak;Birini korkutmak, gözdağı vermek, tehdit etmek;Scare someone, intimidation, threatening
Postayı kesmek;İlişkiyi kesmek, gidip gelişi sona erdirmek;Interrupting the relationship, going and ending the arrival
Post kavgası;Bir makamı, işi ya da iktidarı ele geçirme çekişmesi;The conflict of capturing an authority, business or power
Postu kurtarmak;Can tehlikesini atlatmak, öldürülme tehlikesi olan yerden kaçıp kurtulmak;Drinking the danger of life, escaping from where the danger of being killed
Postu sermek;Kısa bir süre için gittiği yerde, saygısızca ve sorumsuzca uzun süre kalmak;Staying for a long time where he goes for a short time, disrespectful and irresponsible
Pot kırmak;Gaf yapmak, farkında olmayarak karşısındakini kıracak, incitecek söz söylemek;To make a blunder, to say a word that will break the other person by not being aware of
Pupa yelken;Alabildiğince, hiçbir şeye bağımlı olmadan;As much as possible, without dependent on anything
Pusulayı şaşırmak;Ne yapacağını bilemez duruma düşmek;Falling into a situation that doesn't know what to do
Put gibi;Kımıltısız, sessiz, anlamsız bir bakışla;With a unknown, silent, meaningless look
Put kesilmek;Sessiz, kımıltısız bir durumda kalmak;Stay in a silent, unknown
Püsküllü belâ;Kendisinden kurtulunması bir türlü mümkün olmayan, büyük sıkıntı, zarar veren kimse veya şey;It is not possible to get rid of it, great distress, harmful person or thing
Rafa kaldırmak;Bir iş üzerinde artık durmamak, o işi kenara itmek, ihmal etmek;Not to focus on a job anymore, to push it aside, to neglect
Rahatına bakmak;Hiçbir şeye aldırış etmeden rahatını sağlamaya çalışmak;Trying to get comfortable without ignoring anything
Rahatlık batmak;Rahat, iyi bir yerdeyken o yeri olmayacak nedenlerden ötürü terk eden insanlar;People who abandoned for reasons that will not have that place when they are in a comfortable, good place
Rahat yüzü görmemek;"Huzur, bolluk, hiç rahatlık görmemek; sürekli sıkıntı, darlık içinde bulunmak";"Peace, abundance, not to see any comfort; to be in constant distress, stenosis"
Rast gitmek;Bir iş istenilen biçimde gelişmek;Develop a job as desired
Rayına oturmak;Bozulmuş, düzensiz hâle gelmiş bir işi yoluna koymak, iyi duruma getirmek;Putting a job that has become disrupted, irregularly
Rengi atmak;Korku, heyecan sebebiyle benzi sararmak;Fear, excitement
Renkten renge girmek;Heyecan, korku ve utanmadan dolayı yüzünün rengi değişmek, sıkılmak;Change the color of your face due to excitement, fear and shame, to be bored
Renk vermemek;"Bir konu ile ilgili duygularını, düşüncelerini belli etmemek; bildiği halde bilmez gibi görünmek";"Not to show their feelings and thoughts on a subject; to look like you don't know even though he knows"
Rest çekmek;Kesin tavır almak, herhangi bir konuda son sözü söylemek;Taking a definite attitude, saying the last word on any subject
Ruhu bile duymamak;"Anlamamak; hiçbir bilgisi, haberi bulunmamak; olan biteni sezememek";"Not to understand; No information, not to be news; be able to sense what's going on"
Ruhunu teslim etmek;Ölmek;To die
Rüyasında bile görememek;Olacağını hiç aklına getirmemek, ihtimal vermemek;Not to mind that it will happen, not to give it a possibility
Rüzgar gelecek delikleri tıkamak;İstenmeyen bir duruma veya zarar gelebilecek bir gelişmeye karşı her türlü önlemi almak;To take all kinds of measures against an unwanted situation or a development that may occur
Saati saatine uymamak;Bir kimsenin durumu, huyu sık sık değişir olmak;A person's situation, habit often changes
Sabaha çıkamamak;Sabahtan önce ölmek, sabaha kadar yaşayamamak;Dying before morning, not being able to live until morning
Sabahı etmek;Sabahlamak, bir sebeple sabaha kadar uyumamak;Morning, not sleeping until the morning
Sabahın köründe;Çok erken, ortalık henüz ağarmadan, sabahın en erken vaktinde;Very early, without dawning yet, at the earliest in the morning
Sabır taşı;Çok sabırlı kimse, türlü sıkıntılara katlanan;Very patient, who endured all kinds of troubles
Sabrı taşmak;"Katlanamaz, dayanamaz, sabredemez olmak; tahammül gücü kalmamak";"To be able to endure, to stand, to be patient; no tolerate power"
Saç ağartmak;Bir işte uzun zaman çalışıp emek vermiş olmak;To work for a long time and worry
Saçına ak düşmek;Yaşlanmak, ihtiyarlamaya başlamak;Getting older, starting old
Saçını süpürge etmek;Çok büyük istekle çalışıp hizmet etmek, özveri ile birileri uğrana çalışmak;Working and serving with great desire, working with someone with devotion
Saç saça baş başa;kıyasıya kavgaya tutuşmak, birbirlerini hırpalayarak kapışıp dövüşmek;Carrying in a fierce fight, fighting each other and fighting
Saç sakal birbirlerine kırışmak;Üstü başı perişan, uzun süre saç ve sakal tıraşı olmamış, kendine çeki düzen vermemiş olmak;Being miserable, for a long time, hair and beard shave, not to regulate themselves
Sağ gözünü sol gözünden sakınmak;Çok kıskanmak, üzerine titremek;To be very jealous of, tremble on
Sağır sultan bile duydu; İşitmedik kimse kalmadı, hemen herkes işitti; There was no one left, almost everyone heard
Sağı solu (belli) olmamak;Bir durum karşısında nasıl davranacağı, ne tavır takınacağı belli olmamak;Not to act in the face of a situation, what a attitude will not be clear
Sağlam kazığa bağlamak;Bir işin aksamadan yürümesini sağlayacak önlemleri alarak güvenilir bir duruma koymak;Putting measures to enable a job to walk without interruption
Sağlam pabuç değil;"Doğruluğuna, namusluluğuna güvenilmez; kişiliği kuşku veren";"It is unreliable with its accuracy and honor; personality doubt"
Sakalı ele vermek;Başkasının sözünden çıkmayacak bir duruma düşmek, birinin idaresine girmek;To fall into a situation that will not come out of someone else's word, entering someone's administration
Sakız gibi yapışmak;Peşini bırakmamak, ayrılmamak, istediğini yaptırmaya çalışmak;Not to let go, not to leave, try to get what you want
Salkım saçak;Dağınık, düzensiz bir durumda;Dispersed, irregular
Sallantıda kalmak;Bir çözüme bağlanamamak, nasıl olacağı bilinmeden öylece kalmak;Not being able to connect to a solution, staying without knowing how it will be
Saltanat sürmek;Bolluk, verimlilik içinde yaşamak;Living in abundance, productivity
Saman altından su yürütmek;Hiç kimseye sezdirmeden iş çevirmek, ortalığı birbirine karıştırmak;Turning a job without sensing anybody, confusing the place
Sarı çizmeli Mehmet Ağa;Kim olduğu, nerede oturduğu bilinmeyen kimse;Who is unknown
Sarpa sarmak;"Bir iş, çözülmesi çok güç bir durum almak; zorluklar belirmek";"A job, taking a very difficult situation to solve; difficulties"
Satıp savmak;Eldeki malı veya eşyaları yok pahasına satmak, ucuza satıp tüketmek;Selling the goods or goods at the expense of no, selling and consuming cheaply
Sayıp dökmek;Ne var ne yok hepsini söylemek, arka arkaya sıralamak;Saying all, to say all, to sort one after the other
Sebil etmek;Bolca vermek, dağıtmak;Giving plenty, distributing
Sedyelik olmak;Ayakta duramayacak hâle gelmek;Be able to stand up
Seferber olmak;Bir işe eldeki tüm imkânları kullanarak girişmek;To enter a job using all the opportunities at hand
Selamı sabahı kesmek;"Dostluğu, arkadaşlığı, ahbaplığı kesmek, her türlü ilişkiye son vermek; selamına bile karşılık vermemek";"To cut friendship, friendship, dude, to end all kinds of relationships; not to respond to his greetings"
Selâm verip borçlu çıkmak;Küçük bir ilgi göstermek karşılığında hemen kendisine bir iş yüklenilmek;To be on a job immediately in exchange for showing a little interest
Sen giderken ben geliyordum;Ben bu oyunları senden daha iyi bilirim, ben daha tecrübeliyim, beni aldatamazsın;I know these games better than you, I am more experienced, you can't cheat me
Senli benli olmak;Çok samimi, içten, teklifsiz biçimde olmak;To be very sincere, sincere, without bid
Sen sağ ben selâmet;İş sonuçlandı, artık yapacak bir şey kalmadı;The job ended, there is nothing left to do anymore
Sere serpe;Rahatça, sıkışık olmayarak, serbestçe;Freely, not cramped, freely
Sermayeyi kediye yüklemek;Parasını yiyip bitirmek, işini ve parasını kaybetmek, batırmak;Eating and finishing his money, losing his job and money, sinking
Ser verip sır vermemek;"Dürüst, güvenilir, ağzı sıkı olmak; ne kadar zorlanırsa zorlansın kimseye sırrını söylememek";"Honest, reliable, to be tight; No matter how hard it is, not telling anyone his secret"
Ses çıkarmamak;İtiraz etmemek, hoş görerek karşı çıkmamak;Not to appeal, to tolerate
Seyirci kalmak;Bir olay karşısında hiç tepki göstermemek, işe karışmamak;Not reacting to an event, not interfering
Sıcağı sıcağına;Hemen, olayın üzerinden fazla zaman geçmeden, unutulmadan;Immediately, without much time passing over the incident, without forgetting
Sıcak kanlı;Sevimli, cana yakın, sempatik;Cute, friendly, sympathetic
Sıdkı sıyrılmak;Birinden soğumuş olmak, tiksinmek;Being cool from someone, disgusting
Sıfırı tüketmek;Elinde avucunda bir şey kalmamak, malı ve parayı bitirmek;Not to have anything in the palm of his hand, to finish the goods and money
Sık boğaz etmek;Bir şey yaptırmak için birini zorlamak, baskı altına almak;To force someone to do something, to put pressure
Sıkı fıkı;Çok samimi, birbirine çok bağlı, içten ve teklifsiz;Very sincere, very connected to each other
